rank,Stock Name,Symbol,Exchange,CMP,6M Return%,Market Cap (Cr),Cap,Sector,Avg Vol (20D),px_vs_e50,px_vs_e200,ema50,ema200,past_date_used,xsrc_mismatch_pct
115,ADF Foods Limited,ADFFOODS,NSE,282.8,38.44,3108.59,Small,Consumer Defensive,346729,above,above,250.21,228.66,2025-12-09,0.05
117,Universal Cables Limited,UNIVCABLES,NSE,1227.5,36.91,4255.56,Small,Industrials,407869,above,above,978.82,822.03,2025-12-09,0.08
119,Premier Explosives Limited,PREMEXPLN,NSE,685.65,36.46,3683.72,Small,Basic Materials,1601206,above,above,572.42,528.91,2025-12-09,0.07
120,GHCL Textiles Limited,GHCLTEXTIL,NSE,98.77,36.2,942.95,Small,Consumer Cyclical,594479,above,above,88.91,82.79,2025-12-09,0.12
123,SBC Exports Limited,SBC,NSE,37.1,35.3,1764.76,Small,Industrials,14650806,above,above,34.82,28.86,2025-12-09,0.11
129,South West Pinnacle Exploration Limited,SOUTHWEST,NSE,262.75,34.3,780.65,Small,Energy,434889,above,above,238.4,198.82,2025-12-09,0.4
131,Senores Pharmaceuticals Limited,SENORES,NSE,1034.7,34.25,4765.63,Small,Healthcare,671219,above,above,967.12,818.53,2025-12-09,0.01
137,Uniparts India Limited,UNIPARTS,NSE,633.95,31.85,2853.72,Small,Industrials,334377,above,above,545.45,481.47,2025-12-09,0.28
139,Sanstar Limited,SANSTAR,NSE,117.96,31.29,2148.66,Small,Basic Materials,1276928,above,above,100.59,94.4,2025-12-09,0.05
142,Rico Auto Industries Limited,RICOAUTO,NSE,136.85,30.69,1852.73,Small,Consumer Cyclical,4408556,above,above,117.9,109.89,2025-12-09,0.07
143,Gandhar Oil Refinery (India) Limited,GANDHAR,NSE,160.73,30.61,1575.37,Small,Energy,804117,above,above,149.65,148.36,2025-12-09,0.14
144,Dhanlaxmi Bank Limited,DHANBANK,NSE,32.88,30.42,1300.14,Small,Financial Services,2331872,above,above,30.32,27.41,2025-12-09,0.18
145,Menon Bearings Limited,MENONBE,NSE,138.71,30.06,775.87,Small,Consumer Cyclical,219537,above,above,134.28,123.57,2025-12-09,0.19
146,RSWM Limited,RSWM,NSE,197.1,30.03,925.55,Small,Consumer Cyclical,273595,above,above,163.35,155.85,2025-12-09,0.31
155,Sandhar Technologies Limited,SANDHAR,NSE,703.1,28.71,4235.02,Small,Consumer Cyclical,1311059,above,above,572.98,523.31,2025-12-09,0.07
156,Suryoday Small Finance Bank Limited,SURYODAY,NSE,171.83,28.38,1827.65,Small,Financial Services,515933,above,above,155.4,141.97,2025-12-09,0.07
157,Rishabh Instruments Limited,RISHABH,NSE,512.45,28.19,1970.21,Small,Technology,353206,above,above,484.24,417.81,2025-12-09,0.27
164,Quadrant Future Tek Limited,QUADFUTURE,NSE,337.45,26.6,1345.2,Small,Industrials,1347032,above,above,305.15,335.25,2025-12-09,0.34
165,Aeroflex Enterprises Limited,AEROENTER,NSE,100.83,25.5,1138.54,Small,Basic Materials,343221,above,above,93.01,87.92,2025-12-09,0.15
166,Exicom Tele-Systems Limited,EXICOM,NSE,133.85,25.48,1866.45,Small,Industrials,5384287,above,above,124.26,126.29,2025-12-09,0.26
