symbol,name,exchange,yahoo_ticker,series_or_group,isin,bse_sector,bse_mktcap_cr,isin_norm
20MICRONS,20 Microns Limited,NSE,20MICRONS.NS,EQ,INE144J01027,,,INE144J01027
PITTIENG,Pitti Engineering Limited,NSE,PITTIENG.NS,EQ,INE450D01021,,,INE450D01021
PFS,PTC India Financial Services Limited,NSE,PFS.NS,EQ,INE560K01014,,,INE560K01014
PGEL,PG Electroplast Limited,NSE,PGEL.NS,EQ,INE457L01029,,,INE457L01029
PGHH,Procter & Gamble Hygiene and Health Care Limited,NSE,PGHH.NS,EQ,INE179A01014,,,INE179A01014
PGHL,Procter & Gamble Health Limited,NSE,PGHL.NS,EQ,INE199A01012,,,INE199A01012
PGIL,Pearl Global Industries Limited,NSE,PGIL.NS,EQ,INE940H01022,,,INE940H01022
PHOENIXLTD,The Phoenix Mills Limited,NSE,PHOENIXLTD.NS,EQ,INE211B01039,,,INE211B01039
PICCADIL,Piccadily Agro Industries Limited,NSE,PICCADIL.NS,EQ,INE546C01010,,,INE546C01010
PIDILITIND,Pidilite Industries Limited,NSE,PIDILITIND.NS,EQ,INE318A01026,,,INE318A01026
PIGL,Power & Instrumentation (Gujarat) Limited,NSE,PIGL.NS,EQ,INE557Z01018,,,INE557Z01018
PIIND,PI Industries Limited,NSE,PIIND.NS,EQ,INE603J01030,,,INE603J01030
PILANIINVS,Pilani Investment and Industries Corporation Limited,NSE,PILANIINVS.NS,EQ,INE417C01014,,,INE417C01014
PILITA,PIL ITALICA LIFESTYLE LIMITED,NSE,PILITA.NS,BE,INE600A01035,,,INE600A01035
PINELABS,Pine Labs Limited,NSE,PINELABS.NS,EQ,INE15B701018,,,INE15B701018
PIONEEREMB,Pioneer Embroideries Limited,NSE,PIONEEREMB.NS,EQ,INE156C01018,,,INE156C01018
PIONRINV,Pioneer Investcorp Limited,NSE,PIONRINV.NS,EQ,INE746D01014,,,INE746D01014
PFOCUS,Prime Focus Limited,NSE,PFOCUS.NS,BE,INE367G01038,,,INE367G01038
PFIZER,Pfizer Limited,NSE,PFIZER.NS,EQ,INE182A01018,,,INE182A01018
PFC,Power Finance Corporation Limited,NSE,PFC.NS,EQ,INE134E01011,,,INE134E01011
PCBL,PCBL Chemical Limited,NSE,PCBL.NS,EQ,INE602A01031,,,INE602A01031
PATELENG,Patel Engineering Limited,NSE,PATELENG.NS,EQ,INE244B01030,,,INE244B01030
PATELRMART,Patel Retail Limited,NSE,PATELRMART.NS,EQ,INE0R8B01010,,,INE0R8B01010
PATINTLOG,Patel Integrated Logistics Limited,NSE,PATINTLOG.NS,EQ,INE529D01014,,,INE529D01014
PAUSHAKLTD,Paushak Limited,NSE,PAUSHAKLTD.NS,EQ,INE111F01024,,,INE111F01024
PAVNAIND,Pavna Industries Limited,NSE,PAVNAIND.NS,BE,INE07S101038,,,INE07S101038
PAYTM,One 97 Communications Limited,NSE,PAYTM.NS,EQ,INE982J01020,,,INE982J01020
PCJEWELLER,PC Jeweller Limited,NSE,PCJEWELLER.NS,EQ,INE785M01021,,,INE785M01021
PETRONET,Petronet LNG Limited,NSE,PETRONET.NS,EQ,INE347G01014,,,INE347G01014
PDMJEPAPER,Pudumjee Paper Products Limited,NSE,PDMJEPAPER.NS,EQ,INE865T01018,,,INE865T01018
PDSL,PDS Limited,NSE,PDSL.NS,EQ,INE111Q01021,,,INE111Q01021
PEARLPOLY,Pearl Polymers Limited,NSE,PEARLPOLY.NS,BE,INE844A01013,,,INE844A01013
PENIND,Pennar Industries Limited,NSE,PENIND.NS,EQ,INE932A01024,,,INE932A01024
PENINLAND,Peninsula Land Limited,NSE,PENINLAND.NS,BE,INE138A01028,,,INE138A01028
PERSISTENT,Persistent Systems Limited,NSE,PERSISTENT.NS,EQ,INE262H01021,,,INE262H01021
PIRAMALFIN,Piramal Finance Limited,NSE,PIRAMALFIN.NS,EQ,INE202B01038,,,INE202B01038
PIXTRANS,Pix Transmissions Limited,NSE,PIXTRANS.NS,EQ,INE751B01018,,,INE751B01018
RUPA,Rupa & Company Limited,NSE,RUPA.NS,EQ,INE895B01021,,,INE895B01021
PKTEA,The Peria Karamalai Tea & Produce Company Limited,NSE,PKTEA.NS,EQ,INE431F01018,,,INE431F01018
PONNIERODE,Ponni Sugars (Erode) Limited,NSE,PONNIERODE.NS,EQ,INE838E01017,,,INE838E01017
POONAWALLA,Poonawalla Fincorp Limited,NSE,POONAWALLA.NS,EQ,INE511C01022,,,INE511C01022
POWERGRID,Power Grid Corporation of India Limited,NSE,POWERGRID.NS,EQ,INE752E01010,,,INE752E01010
POWERICA,Powerica Limited,NSE,POWERICA.NS,EQ,INE921L01032,,,INE921L01032
POWERINDIA,Hitachi Energy India Limited,NSE,POWERINDIA.NS,EQ,INE07Y701011,,,INE07Y701011
POWERMECH,Power Mech Projects Limited,NSE,POWERMECH.NS,EQ,INE211R01019,,,INE211R01019
PPAP,PPAP Automotive Limited,NSE,PPAP.NS,EQ,INE095I01015,,,INE095I01015
PPL,Prakash Pipes Limited,NSE,PPL.NS,EQ,INE050001010,,,INE050001010
PPLPHARMA,Piramal Pharma Limited,NSE,PPLPHARMA.NS,EQ,INE0DK501011,,,INE0DK501011
PRABHA,Prabha Energy Limited,NSE,PRABHA.NS,EQ,INE0I0M01023,,,INE0I0M01023
PRADPME,Pradeep Metals Limited,NSE,PRADPME.NS,EQ,INE770A01010,,,INE770A01010
PRAENG,Prajay Engineers Syndicate Limited,NSE,PRAENG.NS,EQ,INE505C01016,,,INE505C01016
PRAJIND,Praj Industries Limited,NSE,PRAJIND.NS,EQ,INE074A01025,,,INE074A01025
PRAKASH,Prakash Industries Limited,NSE,PRAKASH.NS,EQ,INE603A01013,,,INE603A01013
PRAKASHSTL,Prakash Steelage Limited,NSE,PRAKASHSTL.NS,EQ,INE696K01024,,,INE696K01024
POLYPLEX,Polyplex Corporation Limited,NSE,POLYPLEX.NS,EQ,INE633B01018,,,INE633B01018
POLYMED,Poly Medicure Limited,NSE,POLYMED.NS,EQ,INE205C01021,,,INE205C01021
POLYCAB,Polycab India Limited,NSE,POLYCAB.NS,EQ,INE455K01017,,,INE455K01017
PNBHOUSING,PNB Housing Finance Limited,NSE,PNBHOUSING.NS,EQ,INE572E01012,,,INE572E01012
PLASTIBLEN,Plastiblends India Limited,NSE,PLASTIBLEN.NS,EQ,INE083C01022,,,INE083C01022
PLATIND,Platinum Industries Limited,NSE,PLATIND.NS,EQ,INE0PT501018,,,INE0PT501018
PLAZACABLE,Plaza Wires Limited,NSE,PLAZACABLE.NS,BE,INE0INJ01017,,,INE0INJ01017
PML,Paul Merchants Limited,NSE,PML.NS,EQ,INE291E01019,,,INE291E01019
PNB,Punjab National Bank,NSE,PNB.NS,EQ,INE160A01022,,,INE160A01022
PNBGILTS,PNB Gilts Limited,NSE,PNBGILTS.NS,EQ,INE859A01011,,,INE859A01011
PNC,Pritish Nandy Communications Limited,NSE,PNC.NS,EQ,INE392B01011,,,INE392B01011
POLICYBZR,PB Fintech Limited,NSE,POLICYBZR.NS,EQ,INE417T01026,,,INE417T01026
PNCINFRA,PNC Infratech Limited,NSE,PNCINFRA.NS,EQ,INE195J01029,,,INE195J01029
PNGJL,P N Gadgil Jewellers Limited,NSE,PNGJL.NS,EQ,INE953R01016,,,INE953R01016
PNGSREVA,PNGS Reva Diamond Jewellery Limited,NSE,PNGSREVA.NS,EQ,INE1RDG01013,,,INE1RDG01013
POCL,Pondy Oxides & Chemicals Limited,NSE,POCL.NS,EQ,INE063E01053,,,INE063E01053
PODDARMENT,Poddar Pigments Limited,NSE,PODDARMENT.NS,EQ,INE371C01013,,,INE371C01013
POKARNA,Pokarna Limited,NSE,POKARNA.NS,EQ,INE637C01025,,,INE637C01025
PATANJALI,Patanjali Foods Limited,NSE,PATANJALI.NS,EQ,INE619A01035,,,INE619A01035
PASUPTAC,Pasupati Acrylon Limited,NSE,PASUPTAC.NS,EQ,INE818B01023,,,INE818B01023
PASHUPATI,Pashupati Cotspin Limited,NSE,PASHUPATI.NS,EQ,INE124Y01028,,,INE124Y01028
PARSVNATH,Parsvnath Developers Limited,NSE,PARSVNATH.NS,BE,INE561H01026,,,INE561H01026
OMAXE,Omaxe Limited,NSE,OMAXE.NS,EQ,INE800H01010,,,INE800H01010
OMFREIGHT,Om Freight Forwarders Limited,NSE,OMFREIGHT.NS,EQ,INE1BZC01019,,,INE1BZC01019
OMINFRAL,OM INFRA LIMITED,NSE,OMINFRAL.NS,EQ,INE239D01028,,,INE239D01028
OMNI,Omnitech Engineering Limited,NSE,OMNI.NS,EQ,INE0UH301010,,,INE0UH301010
OMPOWER,Om Power Transmission Limited,NSE,OMPOWER.NS,EQ,INE25E901019,,,INE25E901019
ONELIFECAP,Onelife Capital Advisors Limited,NSE,ONELIFECAP.NS,BE,INE912L01015,,,INE912L01015
ONEPOINT,One Point One Solutions Limited,NSE,ONEPOINT.NS,EQ,INE840Y01029,,,INE840Y01029
ONESOURCE,Onesource Specialty Pharma Limited,NSE,ONESOURCE.NS,EQ,INE013P01021,,,INE013P01021
ONGC,Oil & Natural Gas Corporation Limited,NSE,ONGC.NS,EQ,INE213A01029,,,INE213A01029
ONMOBILE,OnMobile Global Limited,NSE,ONMOBILE.NS,EQ,INE809I01019,,,INE809I01019
ONWARDTEC,Onward Technologies Limited,NSE,ONWARDTEC.NS,EQ,INE229A01017,,,INE229A01017
OPTIEMUS,Optiemus Infracom Limited,NSE,OPTIEMUS.NS,EQ,INE350C01017,,,INE350C01017
ORBTEXP,Orbit Exports Limited,NSE,ORBTEXP.NS,EQ,INE231G01010,,,INE231G01010
ORCHASP,Orchasp Limited,NSE,ORCHASP.NS,EQ,INE215B01022,,,INE215B01022
ORCHPHARMA,Orchid Pharma Limited,NSE,ORCHPHARMA.NS,EQ,INE191A01027,,,INE191A01027
OMAXAUTO,Omax Autos Limited,NSE,OMAXAUTO.NS,BE,INE090B01011,,,INE090B01011
OLECTRA,Olectra Greentech Limited,NSE,OLECTRA.NS,EQ,INE260D01016,,,INE260D01016
OLAELEC,Ola Electric Mobility Limited,NSE,OLAELEC.NS,EQ,INE0LXG01040,,,INE0LXG01040
NYKAA,FSN E-Commerce Ventures Limited,NSE,NYKAA.NS,EQ,INE388Y01029,,,INE388Y01029
NTPC,NTPC Limited,NSE,NTPC.NS,EQ,INE733E01010,,,INE733E01010
NTPCGREEN,NTPC Green Energy Limited,NSE,NTPCGREEN.NS,EQ,INE0ONG01011,,,INE0ONG01011
NUCLEUS,Nucleus Software Exports Limited,NSE,NUCLEUS.NS,EQ,INE096B01018,,,INE096B01018
NURECA,Nureca Limited,NSE,NURECA.NS,EQ,INE0DSF01015,,,INE0DSF01015
NUVAMA,Nuvama Wealth Management Limited,NSE,NUVAMA.NS,EQ,INE531F01023,,,INE531F01023
NUVOCO,Nuvoco Vistas Corporation Limited,NSE,NUVOCO.NS,EQ,INE118D01016,,,INE118D01016
OAL,Oriental Aromatics Limited,NSE,OAL.NS,EQ,INE959C01023,,,INE959C01023
OILCOUNTUB,Oil Country Tubular Limited,NSE,OILCOUNTUB.NS,BE,INE591A01010,,,INE591A01010
OBCL,Orissa Bengal Carrier Limited,NSE,OBCL.NS,EQ,INE426Z01016,,,INE426Z01016
OBEROIRLTY,Oberoi Realty Limited,NSE,OBEROIRLTY.NS,EQ,INE093I01010,,,INE093I01010
OCCLLTD,OCCL Limited,NSE,OCCLLTD.NS,EQ,INE0PK601023,,,INE0PK601023
ODIGMA,Odigma Consultancy Solutions Limited,NSE,ODIGMA.NS,EQ,INE054301028,,,INE054301028
OFSS,Oracle Financial Services Software Limited,NSE,OFSS.NS,EQ,INE881D01027,,,INE881D01027
OIL,Oil India Limited,NSE,OIL.NS,EQ,INE274J01014,,,INE274J01014
ORICONENT,Oricon Enterprises Limited,NSE,ORICONENT.NS,EQ,INE730A01022,,,INE730A01022
ORIENTALTL,Oriental Trimex Limited,NSE,ORIENTALTL.NS,EQ,INE998H01012,,,INE998H01012
ORIENTBELL,Orient Bell Limited,NSE,ORIENTBELL.NS,EQ,INE607D01018,,,INE607D01018
PAR,Par Drugs And Chemicals Limited,NSE,PAR.NS,EQ,INE04LG01015,,,INE04LG01015
PALASHSECU,Palash Securities Limited,NSE,PALASHSECU.NS,EQ,INE471W01019,,,INE471W01019
PALREDTEC,Palred Technologies Limited,NSE,PALREDTEC.NS,BE,INE218G01033,,,INE218G01033
PANACEABIO,Panacea Biotec Limited,NSE,PANACEABIO.NS,EQ,INE922B01023,,,INE922B01023
PANACHE,Panache Digilife Limited,NSE,PANACHE.NS,EQ,INE895W01019,,,INE895W01019
PANAMAPET,Panama Petrochem Limited,NSE,PANAMAPET.NS,EQ,INE305C01029,,,INE305C01029
PANSARI,Pansari Developers Limited,NSE,PANSARI.NS,EQ,INE697V01011,,,INE697V01011
PARACABLES,Paramount Communications Limited,NSE,PARACABLES.NS,EQ,INE074B01023,,,INE074B01023
PAISALO,Paisalo Digital Limited,NSE,PAISALO.NS,EQ,INE420C01059,,,INE420C01059
PARADEEP,Paradeep Phosphates Limited,NSE,PARADEEP.NS,EQ,INE088F01024,,,INE088F01024
PARAGMILK,Parag Milk Foods Limited,NSE,PARAGMILK.NS,EQ,INE883N01014,,,INE883N01014
PARAS,Paras Defence and Space Technologies Limited,NSE,PARAS.NS,EQ,INE045601023,,,INE045601023
PARASPETRO,Paras Petrofils Limited,NSE,PARASPETRO.NS,EQ,INE162C01024,,,INE162C01024
PARKHOSPS,Park Medi World Limited,NSE,PARKHOSPS.NS,EQ,INE119201023,,,INE119201023
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,NSE,PARKHOTELS.NS,EQ,INE988S01028,,,INE988S01028
PAKKA,PAKKA LIMITED,NSE,PAKKA.NS,EQ,INE551D01018,,,INE551D01018
PAGEIND,Page Industries Limited,NSE,PAGEIND.NS,EQ,INE761H01022,,,INE761H01022
ORIENTCEM,Orient Cement Limited,NSE,ORIENTCEM.NS,EQ,INE876N01018,,,INE876N01018
ORISSAMINE,The Orissa Minerals Development Company Limited,NSE,ORISSAMINE.NS,EQ,INE725E01024,,,INE725E01024
ORIENTCER,ORIENT CERATECH LIMITED,NSE,ORIENTCER.NS,EQ,INE569C01020,,,INE569C01020
ORIENTELEC,Orient Electric Limited,NSE,ORIENTELEC.NS,EQ,INE142Z01019,,,INE142Z01019
ORIENTHOT,Oriental Hotels Limited,NSE,ORIENTHOT.NS,EQ,INE750A01020,,,INE750A01020
ORIENTLTD,Orient Press Limited,NSE,ORIENTLTD.NS,EQ,INE609C01024,,,INE609C01024
ORIENTPPR,Orient Paper & Industries Limited,NSE,ORIENTPPR.NS,EQ,INE592A01026,,,INE592A01026
ORIENTTECH,Orient Technologies Limited,NSE,ORIENTTECH.NS,EQ,INE0PPK01015,,,INE0PPK01015
ORKLAINDIA,Orkla India Limited,NSE,ORKLAINDIA.NS,EQ,INE16NZ01023,,,INE16NZ01023
PACEDIGITK,Pace Digitek Limited,NSE,PACEDIGITK.NS,EQ,INE0S3G01027,,,INE0S3G01027
ORTINGLOBE,ORTIN GLOBAL LIMITED,NSE,ORTINGLOBE.NS,EQ,INE749B01020,,,INE749B01020
OSIAHYPER,Osia Hyper Retail Limited,NSE,OSIAHYPER.NS,BE,INE06IR01021,,,INE06IR01021
OSWALAGRO,Oswal Agro Mills Limited,NSE,OSWALAGRO.NS,BE,INE142A01012,,,INE142A01012
OSWALGREEN,Oswal Greentech Limited,NSE,OSWALGREEN.NS,EQ,INE143A01010,,,INE143A01010
OSWALPUMPS,Oswal Pumps Limited,NSE,OSWALPUMPS.NS,EQ,INE0BYP01024,,,INE0BYP01024
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,NSE,OSWALSEEDS.NS,EQ,INE00IK01029,,,INE00IK01029
PRAVEG,Praveg Limited,NSE,PRAVEG.NS,EQ,INE722B01019,,,INE722B01019
PRAXIS,Praxis Home Retail Limited,NSE,PRAXIS.NS,BE,INE546Y01022,,,INE546Y01022
PRECAM,Precision Camshafts Limited,NSE,PRECAM.NS,EQ,INE484I01029,,,INE484I01029
RBA,Restaurant Brands Asia Limited,NSE,RBA.NS,EQ,INE07T201019,,,INE07T201019
REPL,Rudrabhishek Enterprises Limited,NSE,REPL.NS,EQ,INE364Z01019,,,INE364Z01019
REPRO,Repro India Limited,NSE,REPRO.NS,EQ,INE461B01014,,,INE461B01014
RESPONIND,Responsive Industries Limited,NSE,RESPONIND.NS,EQ,INE688D01026,,,INE688D01026
RETAIL,JHS Svendgaard Retail Ventures Limited,NSE,RETAIL.NS,EQ,INE03DD01011,,,INE03DD01011
RGL,Renaissance Global Limited,NSE,RGL.NS,EQ,INE722H01024,,,INE722H01024
RHETAN,Rhetan TMT Limited,NSE,RHETAN.NS,EQ,INE0KKN01029,,,INE0KKN01029
RHIM,RHI MAGNESITA INDIA LIMITED,NSE,RHIM.NS,EQ,INE743M01012,,,INE743M01012
RHL,Robust Hotels Limited,NSE,RHL.NS,EQ,INE508K01013,,,INE508K01013
RICOAUTO,Rico Auto Industries Limited,NSE,RICOAUTO.NS,EQ,INE209B01025,,,INE209B01025
RIIL,Reliance Industrial Infrastructure Limited,NSE,RIIL.NS,EQ,INE046A01015,,,INE046A01015
RISHABH,Rishabh Instruments Limited,NSE,RISHABH.NS,EQ,INE0N2P01017,,,INE0N2P01017
RITCO,Ritco Logistics Limited,NSE,RITCO.NS,EQ,INE01EG01016,,,INE01EG01016
RITES,RITES Limited,NSE,RITES.NS,EQ,INE320J01015,,,INE320J01015
RKDL,Ravi Kumar Distilleries Limited,NSE,RKDL.NS,EQ,INE722J01012,,,INE722J01012
RKEC,RKEC Projects Limited,NSE,RKEC.NS,EQ,INE786W01010,,,INE786W01010
REPCOHOME,Repco Home Finance Limited,NSE,REPCOHOME.NS,EQ,INE612J01015,,,INE612J01015
RENUKA,Shree Renuka Sugars Limited,NSE,RENUKA.NS,EQ,INE087H01022,,,INE087H01022
REMSONSIND,Remsons Industries Limited,NSE,REMSONSIND.NS,EQ,INE474C01023,,,INE474C01023
REFEX,Refex Industries Limited,NSE,REFEX.NS,EQ,INE056I01025,,,INE056I01025
RBZJEWEL,RBZ Jewellers Limited,NSE,RBZJEWEL.NS,EQ,INE0PEQ01016,,,INE0PEQ01016
RCF,Rashtriya Chemicals and Fertilizers Limited,NSE,RCF.NS,EQ,INE027A01015,,,INE027A01015
RCOM,Reliance Communications Limited,NSE,RCOM.NS,BE,INE330H01018,,,INE330H01018
RECLTD,REC Limited,NSE,RECLTD.NS,EQ,INE020B01018,,,INE020B01018
REDINGTON,Redington Limited,NSE,REDINGTON.NS,EQ,INE891D01026,,,INE891D01026
REDTAPE,Redtape Limited,NSE,REDTAPE.NS,EQ,INE0LXT01019,,,INE0LXT01019
REGAAL,Regaal Resources Limited,NSE,REGAAL.NS,BE,INE0MHO01029,,,INE0MHO01029
RELTD,Ravindra Energy Limited,NSE,RELTD.NS,EQ,INE206N01018,,,INE206N01018
REGENCERAM,Regency Ceramics Limited,NSE,REGENCERAM.NS,EQ,INE277C01012,,,INE277C01012
RELAXO,Relaxo Footwears Limited,NSE,RELAXO.NS,EQ,INE131B01039,,,INE131B01039
RELCHEMQ,Reliance Chemotex Industries Limited,NSE,RELCHEMQ.NS,EQ,INE750D01016,,,INE750D01016
RELIABLE,Reliable Data Services Limited,NSE,RELIABLE.NS,EQ,INE375Y01018,,,INE375Y01018
RELIANCE,Reliance Industries Limited,NSE,RELIANCE.NS,EQ,INE002A01018,,,INE002A01018
RELIGARE,Religare Enterprises Limited,NSE,RELIGARE.NS,EQ,INE621H01010,,,INE621H01010
RKFORGE,Ramkrishna Forgings Limited,NSE,RKFORGE.NS,EQ,INE399G01023,,,INE399G01023
RKSWAMY,R K Swamy Limited,NSE,RKSWAMY.NS,EQ,INE0NQ801033,,,INE0NQ801033
RMC,RMC Switchgears Limited,NSE,RMC.NS,BE,INE655V01019,,,INE655V01019
RSYSTEMS,R Systems International Limited,NSE,RSYSTEMS.NS,EQ,INE411H01032,,,INE411H01032
RRIL,RRIL Limited,NSE,RRIL.NS,EQ,INE951M01037,,,INE951M01037
RRKABEL,R R Kabel Limited,NSE,RRKABEL.NS,EQ,INE777K01022,,,INE777K01022
RSDFIN,RSD Finance Limited,NSE,RSDFIN.NS,EQ,INE616F01022,,,INE616F01022
RSL,Rajputana Stainless Limited,NSE,RSL.NS,EQ,INE313L01016,,,INE313L01016
RSSOFTWARE,R. S. Software (India) Limited,NSE,RSSOFTWARE.NS,BE,INE165B01029,,,INE165B01029
RSWM,RSWM Limited,NSE,RSWM.NS,EQ,INE611A01016,,,INE611A01016
RTNINDIA,RattanIndia Enterprises Limited,NSE,RTNINDIA.NS,EQ,INE834M01019,,,INE834M01019
RPSGVENT,RPSG VENTURES LIMITED,NSE,RPSGVENT.NS,EQ,INE425Y01011,,,INE425Y01011
RTNPOWER,RattanIndia Power Limited,NSE,RTNPOWER.NS,EQ,INE399K01017,,,INE399K01017
RUBFILA,Rubfila International Limited,NSE,RUBFILA.NS,EQ,INE642C01025,,,INE642C01025
RUBICON,Rubicon Research Limited,NSE,RUBICON.NS,EQ,INE506V01022,,,INE506V01022
RUBYMILLS,The Ruby Mills Limited,NSE,RUBYMILLS.NS,BE,INE301D01026,,,INE301D01026
RUCHINFRA,Ruchi Infrastructure Limited,NSE,RUCHINFRA.NS,EQ,INE413B01023,,,INE413B01023
RUCHIRA,Ruchira Papers Limited,NSE,RUCHIRA.NS,EQ,INE803H01014,,,INE803H01014
RPTECH,Rashi Peripherals Limited,NSE,RPTECH.NS,EQ,INE0J1F01024,,,INE0J1F01024
RPPL,Rajshree Polypack Limited,NSE,RPPL.NS,EQ,INE760W01023,,,INE760W01023
RMDRIP,R M Drip and Sprinklers Systems Limited,NSE,RMDRIP.NS,EQ,INE219Y01026,,,INE219Y01026
ROSSARI,Rossari Biotech Limited,NSE,ROSSARI.NS,EQ,INE02A801020,,,INE02A801020
RML,Rane (Madras) Limited,NSE,RML.NS,EQ,INE050H01012,,,INE050H01012
RNBDENIMS,R&B Denims Limited,NSE,RNBDENIMS.NS,EQ,INE012Q01039,,,INE012Q01039
ROHLTD,Royal Orchid Hotels Limited,NSE,ROHLTD.NS,EQ,INE283H01019,,,INE283H01019
ROLEXRINGS,Rolex Rings Limited,NSE,ROLEXRINGS.NS,EQ,INE645S01024,,,INE645S01024
ROLLT,Rollatainers Limited,NSE,ROLLT.NS,BE,INE927A01040,,,INE927A01040
ROML,Raj Oil Mills Limited,NSE,ROML.NS,EQ,INE294G01026,,,INE294G01026
ROSSELLIND,Rossell India Limited,NSE,ROSSELLIND.NS,EQ,INE847C01020,,,INE847C01020
RPPINFRA,R.P.P. Infra Projects Limited,NSE,RPPINFRA.NS,EQ,INE324L01013,,,INE324L01013
ROSSTECH,Rossell Techsys Limited,NSE,ROSSTECH.NS,EQ,INE0OJW01016,,,INE0OJW01016
ROTO,Roto Pumps Limited,NSE,ROTO.NS,EQ,INE535D01037,,,INE535D01037
ROUTE,ROUTE MOBILE LIMITED,NSE,ROUTE.NS,EQ,INE450U01017,,,INE450U01017
RPEL,Raghav Productivity Enhancers Limited,NSE,RPEL.NS,EQ,INE912T01018,,,INE912T01018
RPGLIFE,RPG Life Sciences Limited,NSE,RPGLIFE.NS,EQ,INE105J01010,,,INE105J01010
RPOWER,Reliance Power Limited,NSE,RPOWER.NS,EQ,INE614G01033,,,INE614G01033
RBLBANK,RBL Bank Limited,NSE,RBLBANK.NS,EQ,INE976G01028,,,INE976G01028
RAYMONDREL,Raymond Realty Limited,NSE,RAYMONDREL.NS,EQ,INE1SY401010,,,INE1SY401010
PRECOT,Precot Limited,NSE,PRECOT.NS,EQ,INE283A01014,,,INE283A01014
RAYMONDLSL,Raymond Lifestyle Limited,NSE,RAYMONDLSL.NS,EQ,INE02ID01020,,,INE02ID01020
PRUDENT,Prudent Corporate Advisory Services Limited,NSE,PRUDENT.NS,EQ,INE00F201020,,,INE00F201020
PRUDMOULI,Prudential Sugar Corporation Limited,NSE,PRUDMOULI.NS,EQ,INE024D01016,,,INE024D01016
PSB,Punjab & Sind Bank,NSE,PSB.NS,EQ,INE608A01012,,,INE608A01012
PSPPROJECT,PSP Projects Limited,NSE,PSPPROJECT.NS,EQ,INE488V01015,,,INE488V01015
PTC,PTC India Limited,NSE,PTC.NS,EQ,INE877F01012,,,INE877F01012
PTCIL,PTC Industries Limited,NSE,PTCIL.NS,EQ,INE596F01018,,,INE596F01018
PTL,PTL Enterprises Limited,NSE,PTL.NS,EQ,INE034D01049,,,INE034D01049
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,NSE,PUNJABCHEM.NS,EQ,INE277B01014,,,INE277B01014
PURVA,Puravankara Limited,NSE,PURVA.NS,EQ,INE323I01011,,,INE323I01011
PVP,PVP Ventures Limited,NSE,PVP.NS,EQ,INE362A01016,,,INE362A01016
PVRINOX,PVR INOX Limited,NSE,PVRINOX.NS,EQ,INE191H01014,,,INE191H01014
PVSL,Popular Vehicles and Services Limited,NSE,PVSL.NS,EQ,INE772T01024,,,INE772T01024
PWL,Physicswallah Limited,NSE,PWL.NS,EQ,INE0LP301011,,,INE0LP301011
PYRAMID,Pyramid Technoplast Limited,NSE,PYRAMID.NS,EQ,INE0MIS01010,,,INE0MIS01010
QPOWER,Quality Power Electrical Equipments Limited,NSE,QPOWER.NS,BE,INE0SII01026,,,INE0SII01026
PRSMJOHNSN,Prism Johnson Limited,NSE,PRSMJOHNSN.NS,EQ,INE010A01011,,,INE010A01011
PROZONER,Prozone Realty Limited,NSE,PROZONER.NS,EQ,INE195N01013,,,INE195N01013
PROTEAN,Protean eGov Technologies Limited,NSE,PROTEAN.NS,EQ,INE004A01022,,,INE004A01022
PRESTIGE,Prestige Estates Projects Limited,NSE,PRESTIGE.NS,EQ,INE811K01011,,,INE811K01011
PRECWIRE,Precision Wires India Limited,NSE,PRECWIRE.NS,EQ,INE372C01037,,,INE372C01037
PREMCO,Premco Global Limited,NSE,PREMCO.NS,EQ,INE001E01012,,,INE001E01012
PREMEXPLN,Premier Explosives Limited,NSE,PREMEXPLN.NS,EQ,INE863B01029,,,INE863B01029
PREMIER,Premier Limited,NSE,PREMIER.NS,BE,INE342A01018,,,INE342A01018
PREMIERENE,Premier Energies Limited,NSE,PREMIERENE.NS,EQ,INE0BS701011,,,INE0BS701011
PREMIERPOL,Premier Polyfilm Limited,NSE,PREMIERPOL.NS,BE,INE309M01020,,,INE309M01020
PRICOLLTD,Pricol Limited,NSE,PRICOLLTD.NS,EQ,INE726V01018,,,INE726V01018
PROSTARM,Prostarm Info Systems Limited,NSE,PROSTARM.NS,EQ,INE0BX301013,,,INE0BX301013
PRIMESECU,Prime Securities Limited,NSE,PRIMESECU.NS,EQ,INE032B01021,,,INE032B01021
PRIMO,Primo Chemicals Limited,NSE,PRIMO.NS,EQ,INE607A01022,,,INE607A01022
PRINCEPIPE,Prince Pipes And Fittings Limited,NSE,PRINCEPIPE.NS,EQ,INE689W01016,,,INE689W01016
PRITI,Priti International Limited,NSE,PRITI.NS,BE,INE974Z01015,,,INE974Z01015
PRITIKAUTO,Pritika Auto Industries Limited,NSE,PRITIKAUTO.NS,EQ,INE583R01029,,,INE583R01029
PRIVISCL,Privi Speciality Chemicals Limited,NSE,PRIVISCL.NS,EQ,INE959A01019,,,INE959A01019
QUADFUTURE,Quadrant Future Tek Limited,NSE,QUADFUTURE.NS,EQ,INE0LRY01011,,,INE0LRY01011
QUESS,Quess Corp Limited,NSE,QUESS.NS,EQ,INE615P01015,,,INE615P01015
QUICKHEAL,Quick Heal Technologies Limited,NSE,QUICKHEAL.NS,BE,INE306L01010,,,INE306L01010
